"","Domain","Direct_Head_Count","EBP_Head_Count","HT_Head_Count_CV","CB_Head_Count_CV","DesignEffect_CV","EBP_Head_Count_CV"
"1","1001",1,0.203722814498934,0.159855228890981,0,0,0.136009982792878
"2","1002",1,0.1791893158388,0.193593038703398,0,0,0.166615064201677
"3","1003",1,0.210421375524701,0.114230518489808,0,0,0.111930195599991
"4","1004",1,0.155443645083933,0.146182882846716,0,0,0.170638675163624
"5","1005",1,0.139061020515518,0.13539753155104,0,0,0.172245657549881
"6","1006",1,0.190613409415121,0.132951216940693,0,0,0.141546320095988
"7","1007",1,0.184729355985776,0.161836240158138,0,0,0.154932654165154
"8","1008",1,0.150177752293578,0.138248031333566,0,0,0.133566501651393
"9","1009",1,0.184959417856143,0.0981345849134958,0,0,0.106230673830038
"10","101",1,0.417152093596059,0.10770030937697,0,0,0.0813732565686823
"11","1010",1,0.178166148629556,0.127795667939297,0,0,0.120184816095642
"12","1011",1,0.155688602442334,0.105258149722493,0,0,0.129387674016652
"13","1012",1,0.251446673706441,0.184916875992087,0,0,0.115704802132075
"14","102",1,0.348811709253287,0.115039922843927,0,0,0.0934110435710106
"15","103",1,0.178235558216103,0.089352249018142,0,0,0.114645496856466
"16","104",1,0.386329526916803,0.163936896160958,0,0,0.101566219953279
"17","105",1,0.321042666666667,0.108671757360038,0,0,0.0951382867190985
"18","106",1,0.298285115303983,0.147174904258788,0,0,0.136338250038045
"19","1101",1,0.202770839384258,0.123473580695414,0,0,0.11366398917315
"20","1102",1,0.169149331352155,0.160192333310769,0,0,0.126494228593854
"21","1103",1,0.134314442413163,0.32273471049639,0,0,0.263533993820037
"22","1104",1,0.114176408076514,0.225476246613118,0,0,0.20348825201952
"23","1105",1,0.0915459701886295,0.082719130218381,0,0,0.115135032700808
"24","1106",1,0.0972204237786933,0.0915772501660106,0,0,0.108736741829297
"25","1107",1,0.0652730643091402,0.0844602791488071,0,0,0.147417024756214
"26","1108",1,0.0710787116447494,0.0981308383115589,0,0,0.15128607053833
"27","1109",1,0.131395348837209,0.157915882659085,0,0,0.20973605594254
"28","1110",1,0.08121,0.226404334029625,0,0,0.252428328817107
"29","1203",1,0.17442278762509,0.0601042778961357,0,0,0.0666106489762594
"30","1204",1,0.125017757483511,0.155861536314125,0,0,0.151317542719642
"31","1205",1,0.133302533532042,0.125472110205902,0,0,0.158337841996144
"32","1206",1,0.120453645364536,0.0938524627856158,0,0,0.13162637186595
"33","1207",1,0.179256931608133,0.137311283434569,0,0,0.10931537152424
