"variable","smp_means","pop_means","diff","pvalue"
"agecat.10.14",0.000693962526023595,0.00373743953356755,0.00304347700754395,0.963474880691483
"agecat.15.19",0.012987012987013,0.0194026503785492,0.00641563739153625,0.971321343739471
"agecat.20.24",0.0587885397045702,0.0673273035975525,0.00853876389298228,0.980179943635834
"agecat.25.29",0.0943789035392089,0.105919036381304,0.0115401328420954,0.97831084517534
"agecat.30.34",0.116585704371964,0.12489455081316,0.00830884644119614,0.985612627628164
"agecat.35.39",0.121740854565282,0.123591786175745,0.00185093161046303,0.996816835513471
"agecat.40.44",0.11420640428274,0.108214892094781,-0.00599151218795869,0.989248146810583
"agecat.45.49",0.0983444036879151,0.0973122470554316,-0.00103215663248357,0.998039882900786
"agecat.50.54",0.0890254783384554,0.0770339679861608,-0.0119915103522946,0.975479679171065
"agecat.55.59",0.0739565777733717,0.0618386066825419,-0.0121179710908298,0.972821515196056
"agecat.60.64",0.0596807772380291,0.0559548090168398,-0.00372596822118931,0.990993451267345
"agecat.65.74",0.0818875780707842,0.0786357277862612,-0.003251850284523,0.993247572961055
"agecat.75.",0.0777238029146426,0.0761369824981046,-0.00158682041653803,0.996640495170569
"cellphone.No",0.0898185783681967,0.180988179012675,0.0911696006444786,0.849226913941428
"cellphone.Yes",0.910082284128086,0.819011820987325,-0.0910704631407609,0.849415204846871
"computer.No",0.846931694259939,0.819268102555341,-0.0276635917045978,0.958135580354708
"computer.Yes",0.152969168236344,0.180731897444659,0.0277627292083154,0.95798048948338
"electyp.Electricity",0.476058292852186,0.435614595235298,-0.0404436976168875,0.954173786896757
"electyp.Gas",0.0408446515316744,0.0463656070135722,0.00552095548189781,0.984747052202604
"electyp.Lamp",0.137999405174978,0.434578790564567,0.296579385389589,0.623348469436342
"electyp.None",0.000396550014870626,0,-0.000396550014870626,0.984109962064838
"floor.Finished...Carpet",0,0,0,NA
"floor.Finished...Cement.red.bricks",0.423812828392981,0.354779117323566,-0.0690337110694149,0.920056888776382
"floor.Finished...Ceramic.marble.granite",0,0,0,NA
"floor.Finished...Floor.tiles.teraso",0.133538217507683,0.172263927301462,0.0387257097937787,0.939263383605868
"floor.Finished...Other",0,0,0,NA
"floor.Finished...Parquet.or.polished.wood",0,0,0,NA
"floor.Finished...Vinyl.or.asphalt.strips",0,0,0,NA
"floor.Natural...Dung",0,0,0,NA
"floor.Natural...Earth.sand",0.31089521165857,0.329556739671319,0.0186615280127485,0.977432737642879
"floor.Natural...Other",0.106969366511351,0.128696060738732,0.0217266942273804,0.961973941802844
"floor.Other...Specific",0.0202240507584019,0.00782726622315718,-0.0123967845352447,0.940498960313822
"floor.Rudimentary...Other",0,0,0,NA
"floor.Rudimentary...Palm.bamboo",0,0,0,NA
"floor.Rudimentary...Wood.planks",0.00456032517101219,0.00687688874176428,0.00231656357075209,0.982666885876761
"fuelcook.Charcoal",0.000793100029741251,0.00549937531367796,0.00470627528393671,0.952574284048822
"fuelcook.Electricity",0.313770199266382,0.329546061272652,0.0157758620062691,0.980945154798434
"fuelcook.Firewood",0.572915633984336,0.536044934701592,-0.0368706992827441,0.95813822534156
"fuelcook.Gas",0.0890254783384554,0.0811665082704198,-0.00785897006803567,0.984109029996585
"fuelcook.Kerosene",0.0159611380985427,0.0351532884128696,0.0191921503143269,0.931344899406134
"fuelcook.None",0.003172400118965,0,-0.003172400118965,0.955014536490276
"fuelcook.Other",0.00436205016357688,0.012589832028789,0.00822778186521208,0.949347527306043
"fuelligh.Candles",0.121641717061564,0.370059905816524,0.248418188754959,0.670071281772815
"fuelligh.Electricity",0.474075542777833,0.433553664292503,-0.0405218784853302,0.954068227555646
"fuelligh.Gas",0.000495687518588282,0.00364133394556152,0.00314564642697324,0.960930503674539
"fuelligh.Kerosene",0.0257757509665907,0.103591145471825,0.0778153945052344,0.8207709509555
"fuelligh.None",0.0143749380390602,0.0161030251903425,0.00172808715128228,0.992041347884407
"fuelligh.Other",0.363636363636364,0.0730509252832445,-0.290585438353119,0.595215544031463
"heatsource.Central",0,0,0,NA
"heatsource.Charcoal",0.00218102508178844,0.00910867406323748,0.00692764898144904,0.94781296906427
"heatsource.Electricity",0.258154059680777,0.279421657928177,0.0212675982473998,0.972932574474888
"heatsource.Firewood",0.429661941112323,0.461830063963608,0.0321681228512852,0.963481194525171
"heatsource.Gas",0.0244869634182611,0.0195307911625573,-0.00495617225570387,0.980940446366114
"heatsource.Kerosene",0.00674135025280063,0,-0.00674135025280063,0.93434469775952
"heatsource.No.heating",0.273024685238426,0.215329909126827,-0.0576947761115984,0.924175016806835
"heatsource.Other",0.00574997521562407,0.0147789037555928,0.00902892853996874,0.949444141654212
"hhsize",4.12065034202439,4.44154110649567,0.320890764471282,0.940688370458569
"imp_wat_rec.No",0.0902151283830673,0.166006385682403,0.0757912572993357,0.87178493236263
"imp_wat_rec.Yes",0.909784871616933,0.833993614317597,-0.0757912572993358,0.87178493236263
"internet.No",0.728264102309904,0.819684560103367,0.0914204577934631,0.876440785800279
"internet.Yes",0.271537622682661,0.180315439896633,-0.0912221827860278,0.876690595334576
"landphone.No",0.955982948349361,0.879141883883093,-0.0768410644662677,0.841862025734746
"landphone.Yes",0.0439179141469218,0.120858116116907,0.0769402019699853,0.841613053556501
"marital5.Divorced.Separated",0.0449092891840983,0.0365414802396233,-0.00836780894447508,0.97611351149033
"marital5.Living.together",0.134628730048577,0.0967142567300608,-0.0379144733185166,0.933080770822899
"marital5.Married",0.351839000693963,0.407242089976187,0.0554030892822246,0.935553799872136
"marital5.Never.married",0.352235550708833,0.380289811739832,0.0280542610309983,0.967143408772998
"marital5.Widowed",0.116387429364529,0.0784221598129144,-0.0379652695516142,0.927713417548629
"open_def.No",0.495984931099435,0.507437504671799,0.0114525735723645,0.987077151193874
"open_def.Yes",0.504015068900565,0.492562495328201,-0.0114525735723646,0.987077151193874
"piped.No",0.191930207197383,0.286042265101925,0.0941120579045426,0.875245623461848
"piped.Yes",0.808069792802617,0.713957734898075,-0.0941120579045426,0.875245623461848
"piped_to_prem.No",0.401506890056508,0.501094535863402,0.0995876458068936,0.886905449050272
"piped_to_prem.Yes",0.598493109943492,0.498905464136598,-0.0995876458068935,0.886905449050272
"radio.No",0.528799444829979,0.234540348329365,-0.294259096500615,0.653138870419042
"radio.Yes",0.471101417666303,0.765459651670635,0.294358234004332,0.653027509041888
"relathh9.Child",0,0,0,NA
"relathh9.Domestic.help.boarder",0,0,0,NA
"relathh9.Grandchild",0,0,0,NA
"relathh9.Head",1,1,0,NA
"relathh9.Non.relative",0,0,0,NA
"relathh9.Other.relative",0,0,0,NA
"relathh9.Parents.parents.in.law",0,0,0,NA
"relathh9.Son.in.law.daughter.in.law",0,0,0,NA
"relathh9.Spouse",0,0,0,NA
"roof.Finished...Asbestos",0.0356895013383563,0.0601300628957682,0.0244405615574119,0.935403005294911
"roof.Finished...Concrete",0.048180826806781,0.00403643469625295,-0.0441443921105281,0.843319851282386
"roof.Finished...Metal.tile",0.675820362843264,0.618546242805429,-0.0572741200378347,0.932338211008885
"roof.Finished...Other",0,0,0,NA
"roof.Finished...Roofing",0,0,0,NA
"roof.Finished...Roofing.shingles",0,0,0,NA
"roof.Finished...Tile",0,0,0,NA
"roof.Natural...Other",0.0831763656191137,0.00812626138584258,-0.0750501042332711,0.796062298940582
"roof.Natural...Sod",0,0,0,NA
"roof.Natural...Thatch.palm.leaf",0.118271041935164,0.25632428161073,0.138053239675566,0.799331659551329
"roof.Other...Specific",0.035491226330921,0.0375879633090222,0.00209673697810119,0.993695352349049
"roof.Rudimentary...Other",0.00337067512640032,0.00707977831644367,0.00370910319004335,0.970971914864972
"roof.Rudimentary...Palm.bamboo",0,0,0,NA
"roof.Rudimentary...Rustic.mat",0,0,0,NA
"roof.Rudimentary...Wood.planks",0,0,0,NA
"rooms",2.47467036780014,2.90597669973411,0.431306331933969,0.884184363236871
"rururb.rural",0.547338158025181,0.506059991243713,-0.0412781667814678,0.95334402414949
"rururb.urban",0.451472191930207,0.493940008756287,0.0424678168260797,0.951995490680913
"television.No",0.614949935560623,0.566990934039531,-0.0479590015210912,0.944945182734537
"television.Yes",0.38495092693566,0.433009065960469,0.0480581390248088,0.944830256484912
"toilet14.A.flush.pour.flush.to.elsewhere",0.0093189253494597,0,-0.0093189253494597,0.92274010047022
"toilet14.A.flush.toilet",0,0,0,NA
"toilet14.A.piped.sewer.system",0.334489937543373,0.365318696808227,0.030828759264854,0.963526143384086
"toilet14.A.pit.latrine.without.slab",0.0303360761376029,0.018377524106485,-0.0119585520311179,0.956223334148996
"toilet14.A.septic.tank",0.0198275007435313,0.0303159738165665,0.0104884730730352,0.96214438996893
"toilet14.Bucket",0.00356895013383563,0.0184202377011543,0.0148512875673187,0.919580495361769
"toilet14.Composting.toilet",0,0,0,NA
"toilet14.Hanging.toilet.or.hanging.latrine",0,0,0,NA
"toilet14.No.facilities.or.bush.or.field",0.500545256270447,0.485279827437078,-0.0152654288333696,0.982772881248094
"toilet14.Other",0.00346981263011797,0.00728266789112305,0.00381285526100507,0.970579686741122
"toilet14.Pit.latrine",0.0273619510260732,0,-0.0273619510260732,0.866806137523463
"toilet14.Pit.latrine.with.slab",0.0248835134331318,0.0315439896633101,0.00666047623017834,0.977304852519933
"toilet14.Special.case",0,0,0,NA
"toilet14.Ventilated.improved.pit.latrine..VIP.",0.0461980767324279,0.0434610825760569,-0.00273699415637099,0.992537795771322
"toilet6.Composting.toilet",0,0,0,NA
"toilet6.Flush.toilet",0.354317438286904,0.395634670624793,0.0413172323378892,0.951835590221119
"toilet6.No.facility",0.500545256270447,0.485279827437078,-0.0152654288333696,0.982772881248094
"toilet6.Other",0,0.0440804296987624,0.0440804296987624,0.82997120431665
"toilet6.Pit.latrine.with.slab",0.0248835134331318,0.0315439896633101,0.00666047623017834,0.977304852519933
"toilet6.Ventilated.Improved.Pit..VIP..latrine",0.0461980767324279,0.0434610825760569,-0.00273699415637099,0.992537795771322
"wall.Finished...Cement.blocks",0.410429265391097,0.411929906991148,0.00150064160005015,0.998279387421994
"wall.Finished...Covered.adobe",0,0,0,NA
"wall.Finished...GRC.Gypsum.Asbestos",0.00277585010409438,0.0309887129326086,0.0282128628285142,0.876201519235643
"wall.Finished...Other",0.287994448299792,0.204971862419512,-0.0830225858802802,0.891147514004975
"wall.Finished...Plaster.wire",0,0,0,NA
"wall.Finished...Stone.with.lime.cement",0,0,0,NA
