"variable","smp_means","pop_means","diff","pvalue"
"agecat_55_59",0.0739565777733717,0.00104200907944406,-0.0729145686939276,0.782155099268415
"agecat_60_64",0.0596807772380291,0.00137287381807166,-0.0583079034199575,0.807873550022077
"agecat_65_74",0.0818875780707842,0.00134709215012665,-0.0805404859206575,0.770952928116281
"agecat_75_",0.0777238029146426,0.00212269066080563,-0.075601112253837,0.780800305809632
"cellphone_No",0.0898185783681967,0,-0.0898185783681967,0.753428807999246
"cellphone_Yes",0.910082284128086,0.319080367904402,-0.591001916223684,0.279865062270923
"computer_No",0.846931694259939,0,-0.846931694259939,0.0186666017822883
"computer_Yes",0.152969168236344,0.074528356612031,-0.0784408116243128,0.860266119476179
"electyp_Electricity",0.476058292852186,0.435473856314468,-0.0405844365377184,0.954013555335712
"electyp_Gas",0.0408446515316744,0.0462007489574538,0.00535609742577937,0.985189136686189
"electyp_Lamp",0.137999405174978,0.434655288357214,0.296655883182236,0.623262649652661
"electyp_None",0.000396550014870626,0,-0.000396550014870626,0.984109962064838
"floor_Finished___Carpet",0,0,0,NA
"floor_Finished___Cement_red_bricks",0.423812828392981,0.351208623108539,-0.0726042052844424,0.915843864934058
"floor_Finished___Ceramic_marble_granite",0,0,0,NA
"floor_Finished___Floor_tiles_teraso",0.133538217507683,0.173063743025522,0.0395255255178386,0.938073932230184
"floor_Finished___Other",0,0,0,NA
"floor_Finished___Parquet_or_polished_wood",0,0,0,NA
"floor_Finished___Vinyl_or_asphalt_strips",0,0,0,NA
"floor_Natural___Dung",0,0,0,NA
"floor_Natural___Earth_sand",0.31089521165857,0.330179375954727,0.019284164296157,0.976685620632688
"floor_Natural___Other",0.106969366511351,0.13076247134475,0.0237931048333991,0.958512792094701
"floor_Other___Specific",0.0202240507584019,0.00773664885583106,-0.0124874019025708,0.939967795270867
"floor_Rudimentary___Other",0,0,0,NA
"floor_Rudimentary___Palm_bamboo",0,0,0,NA
"floor_Rudimentary___Wood_planks",0.00456032517101219,0.00704913771063086,0.00248881253961866,0.981515785138405
"fuelcook_Charcoal",0.000793100029741251,0.00556669180379291,0.00477359177405166,0.952149946777332
"fuelcook_Electricity",0.313770199266382,0.329272720631995,0.0155025213656121,0.98127320596249
"fuelcook_Firewood",0.572915633984336,0.536744248002458,-0.0361713859818784,0.958929289325391
"fuelcook_Gas",0.0890254783384554,0.0807438870591066,-0.00828159127934881,0.983235492731643
"fuelcook_Kerosene",0.0159611380985427,0.0350115050693205,0.0190503669707778,0.931760173441555
"fuelcook_None",0.003172400118965,0,-0.003172400118965,0.955014536490276
"fuelcook_Other",0.00436205016357688,0.0126609474333275,0.00829889726975065,0.949015248167786
"fuelligh_Candles",0.121641717061564,0.371655634261259,0.250013917199694,0.668266378240987
"fuelligh_Electricity",0.474075542777833,0.433391986627908,-0.0406835561499246,0.953884070253814
"fuelligh_Gas",0.000495687518588282,0.00368033309914985,0.00318464558056157,0.960630598464292
"fuelligh_Kerosene",0.0257757509665907,0.101917081858944,0.0761413308923535,0.823581727383822
"fuelligh_None",0.0143749380390602,0.015922328428371,0.00154739038931083,0.992852645490677
"fuelligh_Other",0.363636363636364,0.0734326357243682,-0.290203727911995,0.595898945522754
"heatsource_Central",0,0,0,NA
"heatsource_Charcoal",0.00218102508178844,0.00897202044486268,0.00679099536307424,0.94853204797113
"heatsource_Electricity",0.258154059680777,0.279211166899776,0.0210571072189987,0.973197140036887
"heatsource_Firewood",0.429661941112323,0.463408293532883,0.0337463524205606,0.961695349384206
"heatsource_Gas",0.0244869634182611,0.0188700324634169,-0.00561693095484424,0.978238774797486
"heatsource_Kerosene",0.00674135025280063,0,-0.00674135025280063,0.93434469775952
"heatsource_No_heating",0.273024685238426,0.214658167310134,-0.0583665179282916,0.923254872157371
"heatsource_Other",0.00574997521562407,0.0148803193489269,0.00913034413330287,0.949000330673303
"hhsize",4.12065034202439,4.50650449997529,0.385854157950905,0.930348061561369
"imp_wat_rec_No",0.0902151283830673,0.167041575088034,0.0768264467049663,0.870249976434346
"imp_wat_rec_Yes",0.909784871616933,0.832958424911966,-0.0768264467049663,0.870249976434347
"internet_No",0.728264102309904,0,-0.728264102309904,0.101629889648997
"internet_Yes",0.271537622682661,0.0376390867273825,-0.233898535955278,0.628756984834744
"landphone_No",0.955982948349361,0,-0.955982948349361,0.00000316091492669202
"landphone_Yes",0.0439179141469218,0.0468130635711477,0.00289514942422595,0.992151123256696
"marital5_Divorced_Separated",0.0449092891840983,0.0366550864008147,-0.00825420278328365,0.976453529471048
"marital5_Living_together",0.134628730048577,0.0962601542173438,-0.0383685758312336,0.932220271327488
"marital5_Married",0.351839000693963,0.408113061207828,0.0562740605138657,0.93455396384582
"marital5_Never_married",0.352235550708833,0.378814344060656,0.0265787933518225,0.96885855087089
"marital5_Widowed",0.116387429364529,0.0794075372706237,-0.0369798920939049,0.929750344615305
"open_def_No",0.495984931099435,0.505898630778585,0.00991369967914996,0.988813668005277
"open_def_Yes",0.504015068900565,0.494101369221415,-0.00991369967915001,0.988813668005277
"piped_No",0.191930207197383,0.287708374959985,0.0957781677626019,0.873179500573608
"piped_to_prem_No",0.401506890056508,0.50121281262958,0.0997059225730714,0.886771759516687
"piped_to_prem_Yes",0.598493109943492,0.49878718737042,-0.0997059225730713,0.886771759516687
"piped_Yes",0.808069792802617,0.712291625040015,-0.095778167762602,0.873179500573608
"radio_No",0.528799444829979,0,-0.528799444829979,0.289460845464655
"radio_Yes",0.471101417666303,0.432448807275587,-0.0386526103907164,0.956171014333433
"relathh9_Child",0,0,0,NA
